,SERIES_NAME,TotalAssets,TotalLiabilities
7676,SmartETFs Dividend Builder ETF,20989995.71,46691.03
7677,SmartETFs Smart Transportation & Technology ETF,10216592.44,16607.02
7678,SmartETFs Sustainable Energy II ETF,5176523.67,36243.49
7679,Smead International Value Fund,75382111.26,143702.11
7680,Smead Value Fund,4596933434.52,97151642.18
7681,SoFi Be Your Own Boss ETF,9831092.87,2144855.76
7682,SoFi Next 500 ETF,60833134.07,9595751.64
7683,SoFi Select 500 ETF,434131555.4,19777714.92
7684,SoFi Smart Energy ETF,3376993.69,177483.49
7685,SoFi Social 50 ETF,18295667.54,4335869.14
7686,SoFi Weekly Dividend ETF,10007567.13,480365.67
7687,SonicSharesTM Global Shipping ETF,23100227.27,2982660.76
7688,Sound Enhanced Fixed Income ETF,26472850.99,3303284.23
7689,Sound Equity Income ETF,22934367.35,12280.88
7690,Soundwatch Hedged Equity ETF,104488253.64,2747150
7691,SouthernSun Small Cap Fund,351809204.14,361014.86
7692,SouthernSun U.S. Equity Fund,41973067.15,88953.23
7693,Sparkline Intangible Value ETF,6942290.72,208440.34
7694,Sparrow Growth Fund,38140731.97,203712.46
7695,Spectrum Active Advantage Fund,7601578.91,16629.12
7696,Spectrum Low Volatility Fund,482391156.01,176134443.98
7697,Spectrum Preferred and Capital Securities Income Fund,5976939420.14,75188652.28
7698,Sphere 500 Fossil Free Fund,2889712.2,584.41
7699,Sprott Gold Miners ETF,233807647.72,327900.28
7700,Sprott Junior Gold Miners ETF,102614379.06,172760
7701,Sprott Uranium Miners ETF,1718591655.8899999,1782538.0099999998
7702,Spyglass Growth Fund,622639395.53,6898706.01
7703,Stance Equity ESG Large Cap Core ETF,45520089.49,56475.66
7704,State Farm Growth Fund,6218188767.81,7659736.15
7705,State Farm Interim Fund,360518766.59,5132408.71
7706,State Farm Municipal Bond Fund,591815892.47,576659.27
7707,State Street Aggregate Bond Index Fund,610227840.29,174350.31
7708,State Street Aggregate Bond Index Portfolio,2126776010.92,126940874.27
7709,State Street Diversified Income Fund,22687649.53,3112110.9
7710,State Street Global All Cap Equity ex-U.S. Index Portfolio,5278522927.26,203868980.79
7711,State Street Income Fund,1691027956.37,279937776.38
7712,State Street Income V.I.S. Fund,12562706.9,1945180.53
7713,State Street Institutional Premier Growth Equity Fund,25668809.86,12670.77
7714,State Street Institutional Small-Cap Equity Fund,1015347976.3,657144.1
7715,State Street Institutional U.S. Equity Fund,188804404.51,63421.65
7716,State Street International Developed Equity Index Portfolio,3501109510.41,37745885.02
7717,State Street International Stock Selection Fund,155986612.3,4014073.84
7718,State Street Navigator Securities Lending Portfolio II,9462941351.45,5356314.61
7719,State Street Premier Growth Equity V.I.S. Fund,25562445.29,65228.03
7720,State Street Real Estate Securities V.I.S. Fund,40797907.13,134447.21
7721,State Street S&P 500 Index Fund,1339174718.4,3328708.44
7722,State Street S&P 500 Index V.I.S. Fund,146385457.81,133454.83
7723,State Street Small-Cap Equity V.I.S. Fund,26145918.95,76868.17
7724,State Street Target Retirement 2020 Fund,882632399.55,30806055.73
7725,State Street Target Retirement 2030 Fund,2055035563.63,29507796.31
7726,State Street Target Retirement 2035 Fund,1915534713.91,17563126.09
7727,State Street Target Retirement 2040 Fund,1710988212.38,20761296.68
7728,State Street Target Retirement 2045 Fund,1486070430.95,15610037.78
7729,State Street Target Retirement 2050 Fund,1145284088.22,8974600.09
7730,State Street Target Retirement 2055 Fund,784429411.05,6423302.46
7731,State Street Target Retirement 2060 Fund,438527584.7,3737091.56
7732,State Street Target Retirement 2065 Fund,96531391.97,3192428.85
7733,State Street Total Return V.I.S. Fund,1355296308.9,18662124.7
7734,StepStone Private Venture and Growth Fund,141009224.36,3588690.53
7735,Stepstone Private Markets,992395379.92,88302797.27
7736,Sterling Capital Behavioral International Equity Fund,118195944.09,44564.47
7737,Sterling Capital Behavioral Large Cap Value Equity Fund,31554284.99,31975.48
7738,Sterling Capital Diverse Multi-Manager Active ETF,98115995.79,919924.09
7739,Sterling Capital Equity Income Fund,2207129854.78,14806871.66
7740,Sterling Capital Intermediate U.S. Government Fund,16893924.76,51137.87
7741,Sterling Capital North Carolina Intermediate Tax-Free Fund,145188056.86,2104652.47
7742,Sterling Capital Quality Income Fund,81681268.69,230470.56
7743,Sterling Capital Real Estate Fund,74345452.68,176542.04
7744,Sterling Capital SMID Opportunities Fund,7150668.37,75083.82
7745,Sterling Capital Short Duration Bond Fund,136603080.83,788086.36
7746,Sterling Capital Small Cap Value Fund,319032803.82,1961406.93
7747,Sterling Capital South Carolina Intermediate Tax-Free Fund,36524725.23,115489.38
7748,Sterling Capital Total Return Bond Fund,1034767629.48,5779013.15
7749,Sterling Capital Ultra Short Bond Fund,29294896.24,90083.5
7750,Sterling Capital Virginia Intermediate Tax-Free Fund,75182290.65,266071.24
7751,Sterling Capital West Virginia Intermediate Tax-Free Fund,86297080.51,219598.56
7752,Steward Covered Call Income Fund,48179709.3,1910174.05
7753,Steward International Enhanced Index Fund,219407596.61,153552.41
7754,Steward Large Cap Core Fund,78611299.66,153007.4
7755,Steward Large Cap Growth Fund,70084707.67,117052.82
7756,Steward Large Cap Value Fund,63917432.47,103996.17
7757,Steward Select Bond Fund,147667275.44,107855.22
7758,Steward Values-Focused Large Cap Enhanced Index Fund,210931017.9,141077.11
7759,"Stock Dividend Fund, Inc.",31969094,22884
7760,Stock Index Fund,5417003544.320001,3093321.2
7761,Stock Portfolio,550583211.98,538722.84
7762,Stone Ridge Alternative Lending Risk Premium Fund,15877333597.05,4306129586
7763,Strategas Global Policy Opportunities ETF,20118843.35,114481.26
7764,Strategas Macro Thematic Opportunities ETF,78178900.93,627913.26
7765,Strategic Advisers Alternatives Fund,1835597582.3,7891991.89
7766,Strategic Advisers Core Income Fund,51282272880.16,4224271262.25
7767,Strategic Advisers Fidelity Core Income Fund,67465664596.5,11934057347.12
7768,Strategic Advisers Fidelity Emerging Markets Fund,17470718444.83,108616623.11
7769,Strategic Advisers Fidelity International Fund,19873731247.3,28916902.56
7770,Strategic Advisers Income Opportunities Fund,1706781433.09,9441382.68
7771,Strategic Advisers Large Cap Fund,54207924379.59,1015315583.41
7772,Strategic Advisers Municipal Bond Fund,10709842972.76,55666871.72
7773,Strategic Advisers Small-Mid Cap Fund,8491475246.27,526987687.49
7774,Strategic Advisers Tax-Sensitive Short Duration Fund,4323271549.37,45732364.7
7775,Strategic Allocation: Aggressive Fund,654750389.02,3252778.54
7776,Strategic Allocation: Conservative Fund,343118985.32,1402765.27
7777,Strategic Alternatives Fund,338330043,51142986.88
7778,Strategic Bond Fund,2668231089.56,62676059.47
7779,Strategic Enhanced Yield Fund,9184063.31,634893.1
7780,Strategic Equity Allocation Trust,6913369461.22,5286499.82
7781,Strategic Income Fund,82621975.4,5360693.35
7782,Strategic Income Opportunities Fund,3834100740.6,127298638.97
7783,Strategic Income Opportunities Trust,376755997.77,1014070.84
7784,Strategy Shares Gold-Hedged Bond ETF,15102448.33,9601.15
7785,Strategy Shares Halt Climate Change ETF,1088761.22,854.84
7786,Strategy Shares NASDAQ 5HANDL Index ETF,2153927.48,20310.81
7787,Strategy Shares Newfound/Resolve Robust Momentum ETF,60845593.59,8937308.85
7788,Strengthening Dollar 2x Strategy Fund,11660789.26,48332.84
7789,Stringer Growth Fund,27664008.55,29464.29
7790,Subversive Food Security ETF,617267.14,471.54
7791,Subversive Metaverse ETF,933351.11,96540.2
7792,Sunbridge Capital Emerging Markets Fund,30889355.9,110926.71
7793,Superfund Managed Futures Strategy Fund,26812696.84,14908829.61
7794,Sustainable Emerging Markets Portfolio,5600120.64,155664.23
7795,Sustainable Equity Fund,215642734.17,15772467.4
7796,Sustainable Equity Portfolio,632313296.42,744791.3
7797,Swan Defined Risk Emerging Markets Fund,29054149.71,435331.58
7798,Swan Defined Risk Foreign Fund,33460752.59,421390.92
7799,Swan Defined Risk Fund,903924181.24,34840686.74
7800,Swan Defined Risk Growth Fund,101712593.05,5197892.86
7801,Swan Defined Risk U.S. Small Cap Fund,40019602.95,1045581.64
7802,Swan Hedged Equity US Large Cap ETF,139784232.93,1270540.79
7803,Sweater Cashmere Fund,11499744.99,686549.73
7804,Symmetry Panoramic Alternatives Fund,37086021.47,21690.59
7805,Symmetry Panoramic Global Fixed Income Fund,364667712.86,684616.02
7806,Symmetry Panoramic Tax-Managed Global Equity Fund,127384891.98,67047
7807,Symmetry Panoramic US Equity Fund,548888859.36,6559851.62
7808,Symmetry Panoramic US Fixed Income Fund,240960273.18,542901
7809,Syntax Stratified SmallCap ETF,18263189.38,7258.2
7810,Syntax Stratified Total Market II ETF,7880672.77,5207.57
7811,Syntax Stratified U.S. Total Market ETF,12065033.78,7453.53
7812,Syntax Stratified U.S. Total Market Hedged ETF,40067611.76,474015.53
7813,Systematic Core Fund,541564009.59,3023422.66
7814,Systematic Value Fund,465461793.5,389223.07
7815,T. Rowe Price Africa & Middle East Fund,116660261.98,968565.38
7816,T. Rowe Price All-Cap Opportunities Fund,7764063502.259999,16102554.06
7817,T. Rowe Price All-Cap Opportunities Portfolio,349938366.7,628067.93
7818,T. Rowe Price Asia Opportunities Fund,120720116.91,258728.53
7819,"T. Rowe Price Balanced Fund, Inc.",4048853893.09,38191253.12
7820,T. Rowe Price Blue Chip Growth ETF,259819263.9,123729.94
7821,"T. Rowe Price Blue Chip Growth Fund, Inc.",50409863513.56999,60340336.04
7822,T. Rowe Price Blue Chip Growth Portfolio,1506127459.07,1898619.57
7823,T. Rowe Price California Tax-Free Bond Fund,654430030.88,9771088.64
7824,"T. Rowe Price Capital Appreciation Fund, Inc.",45911114397.53,387554383.82
7825,T. Rowe Price China Evolution Equity Fund,75367793.95,153262.25
7826,"T. Rowe Price Communications & Technology Fund, Inc.",5935680878.589997,15386351.79
7827,"T. Rowe Price Corporate Income Fund, Inc.",1137241915.72,30723527.1
7828,"T. Rowe Price Credit Opportunities Fund, Inc.",93645054.07,836716.46
7829,"T. Rowe Price Diversified Mid-Cap Growth Fund, Inc.",1757845516.62,11022122.36
7830,"T. Rowe Price Dividend Growth Fund, Inc.",20624187161.61,75083496.51
7831,T. Rowe Price Dynamic Global Bond Fund,4831117078.730001,357478598.87
7832,T. Rowe Price Emerging Markets Bond Fund,3966143578.88,32196397.31
7833,T. Rowe Price Emerging Markets Discovery Stock Fund,4416812551.45,18557319.74
7834,T. Rowe Price Emerging Markets Local Currency Bond Fund,371584687.11,10005045.62
7835,T. Rowe Price Emerging Markets Stock Fund,6822974111.160001,33301714.05
7836,T. Rowe Price Equity Income ETF,100537812.19,1473071.11
7837,"T. Rowe Price Equity Income Fund, Inc.",17291061890.12,10279906.88
7838,T. Rowe Price Equity Income Portfolio,718909754.64,598479.92
7839,T. Rowe Price Equity Index 500 Fund,23077852935.67,7583070.81
7840,T. Rowe Price Equity Index 500 Portfolio,23544073.58,35589.73
7841,T. Rowe Price European Stock Fund,966816737.75,3702440.65
7842,T. Rowe Price Extended Equity Market Index Fund,853913426.8,27264097.89
7843,"T. Rowe Price Financial Services Fund, Inc.",1552810234.82,7542464.26
7844,T. Rowe Price Floating Rate ETF,77103306.14,34918937.42
7845,"T. Rowe Price Floating Rate Fund, Inc.",4294897576.6,159860092.69
7846,T. Rowe Price Floating Rate Multi-Sector Account Portfolio,15976081.18,784582.25
7847,"T. Rowe Price GNMA Fund, Inc.",2813637495.94,815532631.1
7848,T. Rowe Price Georgia Tax-Free Bond Fund,407443362.72,2720250.62
7849,"T. Rowe Price Global Allocation Fund, Inc.",1018539306.21,7045121.07
7850,T. Rowe Price Global Consumer Fund,49029879.95,448638.64
7851,T. Rowe Price Global Impact Equity Fund,18789455.38,57962.77
7852,T. Rowe Price Global Industrials Fund,141188053.48,4175071.38
7853,"T. Rowe Price Global Multi-Sector Bond Fund, Inc.",1514742351.08,188200521.03
7854,"T. Rowe Price Global Real Estate Fund, Inc.",82647785.49,128270.82
7855,T. Rowe Price Global Stock Fund,5302941905.129999,88440124.8
7856,"T. Rowe Price Global Technology Fund, Inc.",2884885618.34,2956411.29
7857,T. Rowe Price Global Value Equity Fund,108541587.81,1637666.63
7858,T. Rowe Price Growth Stock ETF,35013518.28,345680.97
7859,"T. Rowe Price Growth Stock Fund, Inc.",42079714743.14,23483460.13
7860,"T. Rowe Price Health Sciences Fund, Inc.",16232002221.14,28343431.07
7861,T. Rowe Price Health Sciences Portfolio,730896337.64,1604361.97
7862,"T. Rowe Price High Yield Fund, Inc.",6877407114.879998,51940459.52
7863,T. Rowe Price High Yield Multi-Sector Account Portfolio,8251667.29,81689.99
7864,"T. Rowe Price Inflation Protected Bond Fund, Inc.",626798877.12,43585339.68
7865,T. Rowe Price Institutional Emerging Markets Equity Fund,967241040.68,3794105.42
7866,T. Rowe Price Institutional Floating Rate Fund,5271970928.19,219520851.7
7867,T. Rowe Price Institutional High Yield Fund,1608578290.369999,13909104.19
7868,T. Rowe Price Institutional Long Duration Credit Fund,27998789.88,1466140.9
7869,T. Rowe Price Institutional Mid-Cap Equity Growth Fund,4849230002.570001,2625192.15
7870,T. Rowe Price Institutional Small-Cap Stock Fund,4483401795.88,2604234.19
7871,"T. Rowe Price Intermediate Tax-Free High Yield Fund, Inc.",70359004.04,2194541.89
7872,T. Rowe Price International Bond Fund,923676082.63,60081650.76
7873,T. Rowe Price International Bond Fund (USD Hedged),6223634394.519998,541575632.6
7874,T. Rowe Price International Disciplined Equity Fund,249577247.37,342479.99
7875,T. Rowe Price International Discovery Fund,6885330035.799999,112115138.8
7876,T. Rowe Price International Equity Index Fund,722997610.57,3930015.07
7877,T. Rowe Price International Stock Fund,14524133864.11,48781060.41
7878,T. Rowe Price International Value Equity Fund,10761979808.010002,51595861.22
7879,T. Rowe Price Investment-Grade Corporate Multi-Sector Account Portfolio,67583137.67,1083062.75
7880,T. Rowe Price Japan Fund,421182503.6,8342291.81
7881,T. Rowe Price Large Cap Value Portfolio,2885293169.73,238504549.81
7882,T. Rowe Price Large-Cap Growth Fund,14372203588.420002,8480760.36
7883,T. Rowe Price Large-Cap Value Fund,3410198947.199999,59776412.46
7884,T. Rowe Price Latin America Fund,411769828.53,1549561.99
7885,"T. Rowe Price Limited-Duration Inflation Focused Bond Fund, Inc.",7020326877.419999,500633163.84
7886,T. Rowe Price Limited-Term Bond Portfolio,178929769.45,1102175.8
7887,T. Rowe Price Maryland Short-Term Tax-Free Bond Fund,154742437.18,271664.94
7888,T. Rowe Price Maryland Tax-Free Bond Fund,2281061906.499999,26980450.89
7889,T. Rowe Price Mid Cap Growth Portfolio,1444999222.78,209646511.57
7890,"T. Rowe Price Mid-Cap Growth Fund, Inc.",27419934623.21,17513624.42
7891,T. Rowe Price Mid-Cap Growth Portfolio,474306852.98,417401.03
7892,T. Rowe Price Mid-Cap Index Fund,93707484.12,1920976.08
7893,"T. Rowe Price Mid-Cap Value Fund, Inc.",12890187085.22,12245498.86
7894,T. Rowe Price Moderate Allocation Portfolio,164816859.94,2837375.74
7895,T. Rowe Price Mortgage-Backed Securities Multi-Sector Account Portfolio,160331899,43708857.07
7896,T. Rowe Price New Asia Fund,2989853434.850001,22158069.65
7897,"T. Rowe Price New Era Fund, Inc.",3112865626.94,9813880.05
7898,"T. Rowe Price New Horizons Fund, Inc.",22389346963.280003,41057352.7
7899,"T. Rowe Price New Income Fund, Inc.",16488014738.549995,941750845.14
7900,T. Rowe Price New Jersey Tax-Free Bond Fund,339961940.65,1031065
7901,T. Rowe Price New York Tax-Free Bond Fund,435814373,2080970.99
7902,T. Rowe Price Overseas Stock Fund,21661656483.79999,52298143.59
7903,T. Rowe Price QM U.S. Bond ETF,37342466.53,374413.21
7904,T. Rowe Price QM U.S. Bond Index Fund,1251541322.96,24676613.28
7905,T. Rowe Price QM U.S. Small & Mid-Cap Core Equity Fund,314500034.46,2828806.31
7906,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,6700344104.849999,52684709.88
7907,T. Rowe Price QM U.S. Value Equity Fund,37441573.77,674469.01
7908,"T. Rowe Price Real Assets Fund, Inc.",6818605809.369999,160336934.83
7909,"T. Rowe Price Real Estate Fund, Inc.",1130143114.86,1170963.99
7910,T. Rowe Price Retirement 2010 Fund,2773308951.64,1506074.74
7911,T. Rowe Price Retirement 2015 Fund,4217468037.710001,2372220.92
7912,T. Rowe Price Retirement 2020 Fund,11011823877.99,6855435.81
7913,T. Rowe Price Retirement 2030 Fund,16721371699.409998,11580429.03
7914,T. Rowe Price Retirement 2035 Fund,10899502346.990002,7708346.99
7915,T. Rowe Price Retirement 2040 Fund,12195861349.34,8838292.04
7916,T. Rowe Price Retirement 2045 Fund,7326467023.1,5586855.96
7917,T. Rowe Price Retirement 2060 Fund,1497492782.06,1228105.09
7918,T. Rowe Price Retirement 2065 Fund,116764066.45,222205.32
7919,T. Rowe Price Retirement Balanced Fund,1736899358.57,26911910.19
7920,T. Rowe Price Retirement Balanced I Fund - I Class,521335374.99,8009544.24
7921,T. Rowe Price Retirement Blend 2005 Fund,5824753.19,9733.98
7922,T. Rowe Price Retirement Blend 2010 Fund,5948211.05,10328.25
7923,T. Rowe Price Retirement Blend 2015 Fund,12574091.18,12221.99
7924,T. Rowe Price Retirement Blend 2020 Fund,44306529.25,22221.84
7925,T. Rowe Price Retirement Blend 2030 Fund,59934575.91,32402.17
7926,T. Rowe Price Retirement Blend 2035 Fund,60778377.08,34223.04
7927,T. Rowe Price Retirement Blend 2040 Fund,55748089.64,33779.59
7928,T. Rowe Price Retirement Blend 2050 Fund,27032473.3,25680.28
7929,T. Rowe Price Retirement Blend 2055 Fund,15400458.75,22616.99
7930,T. Rowe Price Retirement Blend 2060 Fund,5728269.16,18934.8
7931,T. Rowe Price Retirement Blend 2065 Fund,3961319.96,19004.07
7932,T. Rowe Price Retirement I 2005 Fund - I Class,295906600.3,105437.81
7933,T. Rowe Price Retirement I 2010 Fund - I Class,884054341.33,270967.92
7934,T. Rowe Price Retirement I 2015 Fund - I Class,1552240140.67,484494.59
7935,T. Rowe Price Retirement I 2020 Fund - I Class,5237515975.89,1610346.46
7936,T. Rowe Price Retirement I 2025 Fund - I Class,7493838374.749998,2390382.74
7937,T. Rowe Price Retirement I 2030 Fund - I Class,10333913632.510002,3446767.68
7938,T. Rowe Price Retirement I 2035 Fund - I Class,7655359922.169999,2624076.61
7939,T. Rowe Price Retirement I 2040 Fund - I Class,8390133087.16,2934156.86
7940,T. Rowe Price Retirement I 2045 Fund - I Class,5991508471.36,2154280.04
7941,T. Rowe Price Retirement I 2050 Fund - I Class,5798994170.95,2145337.87
7942,T. Rowe Price Retirement I 2055 Fund - I Class,3406098993.31,1317088
7943,T. Rowe Price Retirement I 2060 Fund - I Class,1617796235.05,654725.99
7944,T. Rowe Price Retirement I 2065 Fund - I Class,122167660.93,78506.64
7945,T. Rowe Price Retirement Income 2020 Fund,127579921.55,82328.31
7946,"T. Rowe Price Science & Technology Fund, Inc.",5142981406.509998,32109751.21
7947,T. Rowe Price Short Duration Income Fund,47592893.61,875524.37
7948,"T. Rowe Price Short-Term Bond Fund, Inc.",4899866020.67,20309068.1
7949,"T. Rowe Price Small-Cap Stock Fund, Inc.",8475468729.699998,6331535.65
7950,"T. Rowe Price Small-Cap Value Fund, Inc.",10391081925.070002,70956647.13
7951,T. Rowe Price Spectrum Conservative Allocation Fund,2158109712.15,29760258.22
7952,T. Rowe Price Spectrum Diversified Equity Fund,3412402975.58,2491846.15
7953,T. Rowe Price Spectrum Income Fund,5935560010.04,30624020.07
7954,T. Rowe Price Spectrum International Equity Fund,1448636641.84,1316512.72
7955,T. Rowe Price Spectrum Moderate Allocation Fund,2209843137.18,26665343.49
7956,T. Rowe Price Spectrum Moderate Growth Allocation Fund,3074571650.930001,28079569.82
7957,T. Rowe Price Summit Municipal Intermediate Fund,5593962942.549999,54113558.19
7958,T. Rowe Price Target 2005 Fund,52081476.07,38508.93
7959,T. Rowe Price Target 2010 Fund,70100692.98,40171.57
7960,T. Rowe Price Target 2015 Fund,174845313.76,80858.28
7961,T. Rowe Price Target 2020 Fund,321421404.87,151646.33
7962,T. Rowe Price Target 2025 Fund,480078527.29,221026.29
7963,T. Rowe Price Target 2030 Fund,536895944.95,250901.25
7964,T. Rowe Price Target 2035 Fund,437776295.68,215649.53
7965,T. Rowe Price Target 2040 Fund,372931735.32,198401.6
7966,T. Rowe Price Target 2045 Fund,337946597.27,174160.63
7967,T. Rowe Price Target 2050 Fund,262865497.43,149258.25
7968,T. Rowe Price Target 2055 Fund,188665164.24,113189.44
7969,T. Rowe Price Target 2060 Fund,94736503.27,74031.74
7970,T. Rowe Price Target 2065 Fund,11609459.3,18657.65
7971,T. Rowe Price Tax-Efficient Equity Fund,729877735.82,4371366.77
7972,"T. Rowe Price Tax-Free Income Fund, Inc.",2238039531.78,24328823.54
7973,"T. Rowe Price Tax-Free Short-Intermediate Fund, Inc.",1884678729.34,10785108.76
7974,T. Rowe Price Total Equity Market Index Fund,1879728712.65,9377681.71
7975,T. Rowe Price Total Return Fund,759473559.13,131193623.46
7976,T. Rowe Price U.S. Equity Research Fund,11386749925.97,5170167.9
7977,T. Rowe Price U.S. High Yield ETF,21627562.07,37748.84
7978,"T. Rowe Price U.S. Large-Cap Core Fund, Inc.",8709460421.74,30161061.23
7979,T. Rowe Price U.S. Limited Duration TIPS Index Fund,1486490592.61,89531049.81
7980,T. Rowe Price U.S. Treasury Intermediate Index Fund,823143164.65,1679847.7
7981,T. Rowe Price U.S. Treasury Long-Term Index Fund,4420400620.120001,12273494.68
7982,T. Rowe Price Ultra Short-Term Bond ETF,51159983.28,226088.01
7983,T. Rowe Price Ultra Short-Term Bond Fund,2929098097.09,34101062.6
7984,"T. Rowe Price Value Fund, Inc.",28077398673.62,130011799.34
7985,T.Rowe Price Large Cap Growth Portfolio,1874725730.85,151174250.41
7986,T.Rowe Price Small Cap Growth Portfolio,1241135798.08,95773902.05
7987,TACTICAL MULTI-PURPOSE FUND,47586.94,22980.97
7988,TAIWAN FUND INC,225241905.98,486341.42
7989,TAX MANAGED MULTI CAP GROWTH PORTFOLIO,189820796.67,665639.44
7990,TAX MANAGED SMALL CAP PORTFOLIO,190689432,820374.58
7991,TAX-ADVANTAGED INCOME FUND,1086524313.71,14453091.53
7992,TAX-MANAGED GROWTH PORTFOLIO,30606686451.23,13624041.85
7993,TCW Artificial Intelligence Equity Fund,12191429.67,43071.32
7994,TCW Conservative Allocation Fund,29139248.65,38982.97
7995,TCW Core Fixed Income Fund,1479638464.22,296383751.89
7996,TCW Core Fixed Income Portfolio,2140485432.93,635360698.83
7997,TCW Emerging Markets Local Currency Income Fund,153306367.65,1363033.59
7998,TCW Emerging Markets Multi-Asset Opportunities Fund,40630821.93,978871.53
7999,TCW Enhanced Commodity Strategy Fund,36808270.26,59966.19
8000,TCW Global Real Estate Fund,32450609.64,292191.11
8001,TCW High Yield Bond Fund,62780496.54,1661123.39
8002,TCW New America Premier Equities Fund,159378268.6,178524.95
8003,TCW Relative Value Dividend Appreciation Fund,277594138.92,293341.98
8004,TCW Relative Value Large Cap Fund,120193201.71,137514.87
8005,TCW Relative Value Mid Cap Fund,82087682.24,110572.63
8006,TCW STRATEGIC INCOME FUND INC,294743848.24,59015180.69
8007,TCW Select Equities Fund,552194052.63,609207.93
8008,TCW Short Term Bond Fund,10045380.08,2414297.46
8009,TCW Total Return Bond Fund,4118193781.31,1102959085.35
8010,TEKLA HEALTHCARE INVESTORS,1013942948.66,15682437.65
8011,TEKLA LIFE SCIENCES INVESTORS,435294959.28,5997026.38
8012,TETON Convertible Securities Fund,34470198.59,690028.63
8013,TETON Westwood Balanced Fund,41302799.12,106298.83
8014,TETON Westwood Equity Fund,45944025.74,106998.12
8015,TETON Westwood Mighty Mites Fund,438777539.42,5219535.79
8016,TFA AlphaGen Growth Fund,44626927.91,145294.8
8017,TFA Quantitative Fund,30843617.33,104023.62
8018,TFA Tactical Income Fund,40614398.34,2819399.61
8019,THE ARBITRAGE FUND,1471586979.36,27346568.81
8020,THE ASIA PACIFIC SMALL COMPANY SERIES,1423433392.81,33836776.98
8021,THE CHESAPEAKE GROWTH FUND (FORMERLY CORE GROWTH),36009715.3,68761.15
8022,THE CONTINENTAL SMALL COMPANY SERIES,5678788895.63,459745646.27
8023,THE DFA INTERNATIONAL VALUE SERIES,12920627369.44,510975520.15
8024,THE EMERGING MARKETS SERIES,4836250294.05,151007139.92
8025,THE EMERGING MARKETS SMALL CAP SERIES,4203045165.44,128717109.53
8026,THE HARTFORD CAPITAL APPRECIATION FUND,5906496836.33,20890652.93
8027,THE HARTFORD CHECKS AND BALANCES FUND,1411546776.49,689769.39
8028,THE HARTFORD CONSERVATIVE ALLOCATION FUND,108419985.75,71451.48
8029,THE HARTFORD DIVIDEND AND GROWTH FUND,16150396209.55,16072424.8
8030,THE HARTFORD EQUITY INCOME FUND,5403137472.2,5216045.67
8031,THE HARTFORD GROWTH ALLOCATION FUND,521004240.13,363280.79
8032,THE HARTFORD GROWTH OPPORTUNITIES FUND,4297294110.02,41263517.26
8033,THE HARTFORD HEALTHCARE FUND,1302597721.2,1817173.99
8034,THE HARTFORD HIGH YIELD FUND,392741851.76,5302878.21
8035,THE HARTFORD INTERNATIONAL GROWTH FUND,332590444.66,1078001.9
8036,THE HARTFORD INTERNATIONAL OPPORTUNITIES FUND,4100499495.41,6669869.03
8037,THE HARTFORD MIDCAP FUND,7905298466.48,174560283.91
8038,THE HARTFORD MIDCAP VALUE FUND,1006218372.29,6875857.12
8039,THE HARTFORD MUNICIPAL OPPORTUNITIES FUND,1755934889.06,29655237.01
8040,THE HARTFORD SHORT DURATION FUND,1915291409.66,17876571.91
8041,THE HARTFORD SMALL COMPANY FUND,658450649.32,14043844.12
8042,THE HARTFORD STRATEGIC INCOME FUND,2295039102.04,294510810.96
8043,THE U.S. LARGE CAP VALUE SERIES,28835589438.16,748573796
8044,THE UNITED KINGDOM SMALL COMPANY SERIES,1431125332.43,30742787.34
8045,THOR Low Volatility ETF,90231458.13,27522.29
8046,THRIVENT AGGRESSIVE ALLOCATION FUND,2070817434.98,18385911.2
8047,THRIVENT AGGRESSIVE ALLOCATION PORTFOLIO,1779800976.56,10935255.75
8048,THRIVENT ALL CAP PORTFOLIO,142992330.97,84566.88
8049,THRIVENT BALANCED INCOME PLUS FUND,438622753.71,24551607.49
8050,THRIVENT BALANCED INCOME PLUS PORTFOLIO,437694785.41,32542478.48
8051,THRIVENT CHURCH LOAN AND INCOME FUND,48114275.87,11179318.45
8052,THRIVENT CORE EMERGING MARKETS DEBT FUND,817522075.55,7116393.93
8053,THRIVENT CORE EMERGING MARKETS EQUITY FUND,497337543.62,187631.62
8054,THRIVENT CORE INTERNATIONAL EQUITY FUND,485373504.99,105007.76
8055,THRIVENT CORE LOW VOLATILITY EQUITY FUND,1040492618.73,29556.7
8056,THRIVENT CORE SHORT-TERM RESERVE FUND,4481126847.74,49325360.47
8057,THRIVENT CORE SMALL CAP VALUE FUND,584833242.07,351305.46
8058,THRIVENT DIVERSIFIED INCOME PLUS FUND,1190455176.9,126634364.79
8059,THRIVENT DIVERSIFIED INCOME PLUS PORTFOLIO,776045089.25,86358145.83
8060,THRIVENT GLOBAL STOCK PORTFOLIO,1268041745.28,5531374.96
8061,THRIVENT GOVERNMENT BOND PORTFOLIO,194579199.74,26666776.79
8062,THRIVENT HIGH INCOME MUNICIPAL BOND FUND,34247756.13,396759.7
8063,THRIVENT HIGH YIELD FUND,703866609.27,19347190.85
8064,THRIVENT HIGH YIELD PORTFOLIO,727756782.06,4235089.48
8065,THRIVENT INCOME FUND,939930056.89,9589563.59
8066,THRIVENT INCOME PORTFOLIO,1260032888.19,7143154.86
8067,THRIVENT INTERNATIONAL ALLOCATION FUND,873075394.03,2216665.55
