SERIES_NAME,TotalLiabilities,TotalAssets
VanEck Digital Assets Mining ETF,124801.22,714359.02
VanEck Digital India ETF,917.6,1390534.12
VanEck Digital Transformation ETF,4811544.36,22420648.31
VanEck Durable High Dividend ETF,1400304.86,89898122.33
VanEck Dynamic High Income ETF,45.17,540496.54
VanEck Emerging Markets Bond Fund,493471.59,9996222.45
VanEck Energy Income ETF,11914.98,30280466.14
VanEck Environmental Services ETF,8905429.54,78300000.66
VanEck Fallen Angel High Yield Bond ETF,128408878.32,2911735634.5
VanEck Gaming ETF,1365716.12,97813733.67
VanEck Gold Miners ETF,129757944.84,12063401997.4
VanEck Green Bond ETF,664548.53,76039669.31
VanEck Green Infrastructure ETF,11414.58,1228661.51
VanEck Green Metals ETF,885225.92,23475623.67
VanEck HIP Sustainable Muni ETF,253704.41,18785572.65
VanEck IG Floating Rate ETF,12800003.65,1141398447.37
VanEck India Growth Leaders ETF,113211.66,51479311.09
VanEck Indonesia Index ETF,342120.49,33278938.77
VanEck Inflation Allocation ETF,8037727.33,145394827.51
VanEck International High Yield Bond ETF,2798302.57,62038008.36
VanEck Israel ETF,1100038.22,60020631.39
VanEck J.P. Morgan EM Local Currency Bond ETF,50970509.7,3123331716.23
VanEck Junior Gold Miners ETF,159425236.97,3896581084.33
VanEck Long Muni ETF,3062812.21,288109472.65
VanEck Long/Flat Trend ETF,58510.06,26443428.77
VanEck Low Carbon Energy ETF,10777585.77,208927330.16
VanEck Moody's Analytics BBB Corporate Bond ETF,22717.4,8559412.59
VanEck Moody's Analytics IG Corporate Bond ETF,88311.61,12893202.87
VanEck Morningstar ESG Moat ETF,30874.59,3853671.19
VanEck Morningstar Global Wide Moat ETF,217365.23,16269519.23
VanEck Morningstar International Moat ETF,577496.09,55372299.79
VanEck Morningstar Wide Moat ETF,2940318.02,6320577953.6
VanEck Mortgage REIT Income ETF,4085143.13,197290337.57
VanEck Muni Allocation ETF,103751.92,2461733.71
VanEck Natural Resources ETF,4304203.57,146985377.04
VanEck Oil Refiners ETF,168026.29,39159740.99
VanEck Oil Services ETF,23974880.16,2577953080.63
VanEck Pharmaceutical ETF,29457101.68,615644883.45
VanEck Preferred Securities ex Financials ETF,38203884.9,1058022581.15
VanEck Rare Earth/Strategic Metals ETF,44512121.37,675704426.93
VanEck Retail ETF,62906.95,146235181.95
VanEck Russia ETF,2431347.88,37713320.05
VanEck Russia Small-Cap ETF,85217.88,475427.31
VanEck Semiconductor ETF,260044881.65,6529562655.57
VanEck Short High Yield Muni ETF,1196948.99,433306962.08
VanEck Social Sentiment ETF,2166766.94,54121607.17
VanEck Steel ETF,9648864.37,109343463.06
VanEck Uranium+Nuclear Energy ETF,2666944.76,57147827.03
VanEck VIP Emerging Markets Bond Fund,307037.72,17498047.09
VanEck VIP Emerging Markets Fund,1800715.47,104348096.3
VanEck VIP Global Gold Fund,571695.15,46390166.05
VanEck Video Gaming and eSports ETF,4794145.62,252402138.59
VanEck Vietnam ETF,5219170.35,418279504.7
Variable Portfolio - Aggressive Portfolio,571376.87,2062559614.76
Variable Portfolio - Managed Risk U.S. Fund,46587113.06,413969077.75
Variable Portfolio - Managed Volatility Conservative Fund,73767433.46,680007557.44
Variable Portfolio - Managed Volatility Conservative Growth Fund,142418231.52,1355950273.88
Variable Portfolio - Managed Volatility Growth Fund,1335672417.26,11890749125.88
Variable Portfolio - Moderate Portfolio,4377085.64,13680342477.18
Variable Portfolio - Moderately Conservative Portfolio,612071.77,2195330772.16
Variable Portfolio - Partners Core Bond Fund,101802036.04,4962946510.16
Variable Portfolio - Partners Core Equity Fund,9164612.61,2597649504.18
Variable Portfolio - Partners International Growth Fund,1977358.54,1187233041.63
Variable Portfolio - Partners International Value Fund,1264311.26,1337846867.16
Variable Portfolio - Partners Small Cap Growth Fund,122735.63,560342655.2
Variable Portfolio - Partners Small Cap Value Fund,211386.45,594394881.09
Variable Portfolio - U.S. Flexible Conservative Growth Fund,39569720.26,345976804.64
Variable Portfolio - U.S. Flexible Growth Fund,565905020.99,4117769790.53
Variant Alternative Income Fund,127328340.58000001,6749368335.33
Vaughan Nelson Emerging Markets Opportunity Fund,235708.83,34487501.69
Vaughan Nelson International Small Cap Fund,210631.06,36080842.66
Vaughan Nelson Mid Cap Fund,1165621.3,263583620.88
Vaughan Nelson Select Fund,394350.5,421170238.26
Vaughan Nelson Small Cap Value Fund,601769.69,191181890.31
VegTech Plant-based Innovation & Climate ETF,20.96,5135707.15
Versatile Bond Portfolio,43455.55,88498277.66
Versus Capital Multi-Manager Real Estate Income Fund LLC,8235720.79,2909388483.52
Versus Capital Real Assets Fund LLC,45189919.8,2963219191.88
Vert Global Sustainable Real Estate Fund,8709447.01,183091265.81
Vertical Capital Income Fund,5822752.78,112269599.3
Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,47844.28,74011865.47
Victory Floating Rate Fund,13810894.38,1264597979.88
Victory Global Energy Transition Fund,10509635.19,420346037.64
Victory High Income Municipal Bond Fund,210726.39,39284615.77
Victory High Yield Fund,26459748.62,271161048.54
Victory High Yield VIP Series,2870101.84,25007779.12
Victory INCORE Fund for Income,468130.18,431186797.03
Victory INCORE Investment Grade Convertible Fund,61877281.43,470893134.0
Victory INCORE Low Duration Bond Fund,2871229.85,183996324.3
Victory INCORE Total Return Bond Fund,1907504.22,68230988.49
Victory Integrity Discovery Fund,470393.7,64718019.96
Victory Integrity Small-Cap Value Fund,14250916.66,1484886584.69
Victory Munder Multi-Cap Fund,9199908.03,373286325.29
Victory RS Growth Fund,2445101.92,211134035.03
Victory RS International Fund,2370460.73,338192200.52
Victory RS International VIP Series,236121.65,114501377.66
Victory RS Investors Fund,67080.81,45204530.86
Victory RS Large Cap Alpha VIP Series,781210.41,777927325.47
Victory RS Mid Cap Growth Fund,223694.85,83949507.47
Victory RS Science & Technology Fund,2082497.2,166270552.03
Victory RS Small Cap Equity Fund,707787.57,39262975.28
Victory RS Small Cap Growth Equity VIP Series,464400.91,71327444.48
Victory S&P 500 Index Fund,180143.02,211664753.04
Victory Sophus Emerging Markets Fund,1290537.13,402318884.52
Victory Special Value Fund,766369.96,38991237.04
Victory Strategic Allocation Fund,23497.14,23511115.38
Victory Sycamore Established Value Fund,45961720.24,16727836324.46
Victory Sycamore Mid Cap Value Portfolio,143611174.78,1092724713.96
Victory Sycamore Small Company Opportunity Fund,24904343.42,6416404285.5
Victory THB US Small Opportunities Fund,310362.89,73182064.94
Victory Trivalent International Small-Cap Fund,54365342.18,2772005667.96
VictoryShares Developed Enhanced Volatility Wtd ETF,290126.1,46358796.74
VictoryShares Dividend Accelerator ETF,82824.24,205677478.4
VictoryShares ESG Core Plus Bond ETF,1413378.5,211268873.5
VictoryShares ESG Corporate Bond ETF,64883.73,101125684.04
VictoryShares Emerging Markets Value Momentum ETF,2290994.74,177081842.0
VictoryShares International Value Momentum ETF,2019155.26,274743539.67
VictoryShares THB Mid Cap ESG ETF,16294.96,2203265.27
VictoryShares US 500 Enhanced Volatility Wtd ETF,1804701.78,845933978.7
VictoryShares US 500 Volatility Wtd ETF,2116524.21,578552864.36
VictoryShares US Discovery Enhanced Volatility Wtd ETF,210663.86,90221308.06
VictoryShares US EQ Income Enhanced Volatility Wtd ETF,10345804.17,2040008027.27
VictoryShares US Large Cap High Div Volatility Wtd ETF,1339414.59,366176336.63
VictoryShares US Multi-Factor Minimum Volatility ETF,54454.85,124164429.4
VictoryShares US Small Cap High Div Volatility Wtd ETF,7698190.92,376441443.27
VictoryShares US Small Mid Cap Value Momentum ETF,138228.26,217653969.98
VictoryShares US Value Momentum ETF,358636.3,247286706.7
VictoryShares USAA Core Intermediate-Term Bond ETF,9152872.1,1328590041.24
VictoryShares WestEnd US Sector ETF,75283.41,141867653.3
Vident Core U.S. Bond Strategy ETF,32700892.82,397095786.42
Vident Core U.S. Equity Fund,156851045.11,664296579.05
Vident International Equity Fund,11506536.87,362310375.05
Viking Tax-Free Fund for Montana,2211482.96,72112345.29
Viking Tax-Free Fund for North Dakota,82250.07,27212340.09
Villere Balanced Fund,43584683.56,185031724.15
Villere Equity Fund,12762677.49,52562139.2
Virginia Bond Fund,1726156.13,565352018.44
Viridi Bitcoin Miners ETF,1830100.33,5211471.92
Virtus Artificial Intelligence & Technology Opportunities Fund,150056010.16,834144687.48
Virtus Ceredex Large-Cap Value Equity Fund,933491.05,738869469.16
Virtus Ceredex Mid-Cap Value Equity Fund,3623831.89,2575512633.23
Virtus Ceredex Small-Cap Value Equity Fund,402444.11,251574503.73
Virtus Convertible & Income 2024 Target Term Fund,75789081.06,245256278.73
Virtus Convertible & Income Fund II,217376793.58,493376320.88
Virtus Convertible Fund,26776843.33,1582950435.35
Virtus Diversified Income & Convertible Fund,112249885.04,332081191.5
"Virtus Dividend, Interest & Premium Strategy Fund",6016830.08,1351248592.18
Virtus Duff & Phelps Clean Energy ETF,5674.03,3514823.37
Virtus Duff & Phelps Global Infrastructure Fund,120242.25,79940363.28
Virtus Duff & Phelps Global Real Estate Securities Fund,552788.73,349915041.54
Virtus Duff & Phelps International Real Estate Securities Fund,41972.98,27621463.09
Virtus Duff & Phelps Real Asset Fund,31963.34,21783127.38
Virtus Duff & Phelps Real Estate Securities Series,773053.84,84835034.51
Virtus Duff & Phelps Select MLP and Energy Fund,85672.14,32848071.76
Virtus Duff & Phelps Water Fund,1251575.49,681960440.35
Virtus Emerging Markets Opportunities Fund,157368.36,118253499.3
Virtus Equity & Convertible Income Fund,3903747.35,625499238.8
Virtus Global Allocation Fund,95829.92,231809496.48
Virtus Global Multi-Sector Income Fund,47695067.23,148859393.93
Virtus Income & Growth Fund,35587493.79,5034638667.95
Virtus InfraCap U.S. Preferred Stock ETF,171042462.19,747060364.31
Virtus KAR Capital Growth Series,260585.66,185783173.48
Virtus KAR Developing Markets Fund,8517.35,2660318.75
Virtus KAR Emerging Markets Small-Cap Fund,2297563.31,237643297.64
Virtus KAR Equity Income Fund,6580077.98,165088656.62
Virtus KAR Equity Income Series,3057770.57,93172091.22
Virtus KAR Global Quality Dividend Fund,2390252.86,41110374.0
Virtus KAR Global Small-Cap Fund,98630.05,56750017.67
Virtus KAR Health Sciences Fund,246188.94,164469302.18
Virtus KAR International Small-Mid Cap Fund,23782543.99,1028120225.55
Virtus KAR Mid-Cap Core Fund,1354038.14,1377326185.72
Virtus KAR Mid-Cap Growth Fund,4070711.33,1524892289.08
Virtus KAR Small-Cap Core Fund,3992298.98,1564055734.52
Virtus KAR Small-Cap Growth Fund,51116840.93,3230631250.54
Virtus KAR Small-Cap Value Series,95585.11,64822685.64
Virtus KAR Small-Mid Cap Core Fund,2163020.82,1044748708.36
Virtus KAR Small-Mid Cap Growth Fund,49015.79,4951684.5
Virtus KAR Small-Mid Cap Value Fund,17550.58,4713685.41
Virtus LifeSci Biotech Clinical Trials ETF,620623.41,17229543.94
Virtus LifeSci Biotech Products ETF,33282.44,18318452.36
Virtus NFJ Dividend Value Fund,9261438.16,687379635.51
Virtus NFJ Global Sustainability Fund,65638.81,55816094.82
Virtus NFJ International Value Fund,124660.84,95549650.08
Virtus NFJ Large-Cap Value Fund,2792463.01,246451827.19
Virtus NFJ Mid-Cap Value Fund,7567428.8,1010924513.19
Virtus NFJ Small-Cap Value Fund,2364549.01,362560934.93
Virtus Newfleet ABS/MBS ETF,691878.34,13513602.31
Virtus Newfleet High Yield Fund,376092.23,45197213.37
Virtus Newfleet Low Duration Core Plus Bond Fund,4889579.09,468603517.47
Virtus Newfleet Multi-Sector Bond ETF,1149367.34,51718339.61
Virtus Newfleet Multi-Sector Intermediate Bond Series,312728.23,93400974.58
Virtus Newfleet Multi-Sector Short Term Bond Fund,36484512.42,4911673397.85
Virtus Newfleet Senior Floating Rate Fund,3756284.4,194621425.83
Virtus Newfleet Short Duration High Income Fund,3449436.95,550865231.29
Virtus Real Asset Income ETF,1581605.76,40942470.36
Virtus Reaves Utilities ETF,18348.68,43847139.32
Virtus SGA Emerging Markets Growth Fund,15003.78,4699465.31
Virtus SGA Global Growth Fund,1440661.83,106475666.64
Virtus SGA International Growth Series,182915.01,126257203.37
Virtus SGA New Leaders Growth Fund,17615.62,5919655.92
Virtus Seix Corporate Bond Fund,811789.17,46080263.26
Virtus Seix Floating Rate High Income Fund,79454012.72,2167770773.04
Virtus Seix High Grade Municipal Bond Fund,528452.31,43310058.76
Virtus Seix High Income Fund,2861645.1,140930406.55
Virtus Seix High Yield Fund,3699729.28,262635892.57
Virtus Seix High Yield Income Fund,87966.67,31184507.5
Virtus Seix Investment Grade Tax-Exempt Bond Fund,410463.06,161111164.16
Virtus Seix Tax-Exempt Bond Fund,1210851.66,72885763.94
Virtus Seix U.S. Government Securities Ultra-Short Bond Fund,2343246.87,438624649.06
Virtus Silvant Focused Growth Fund,8780179.24,780645568.53
Virtus Silvant Large-Cap Growth Stock Fund,847026.76,89293821.79
Virtus Silvant Mid-Cap Growth Fund,418063.99,276311051.35
Virtus Stone Harbor Emerging Markets Corporate Debt Fund,208845.85,7261746.63
Virtus Stone Harbor Emerging Markets Debt Allocation Fund,53167.45,1961150.51
Virtus Stone Harbor Emerging Markets Debt Fund,14280792.64,479289080.37
Virtus Stone Harbor Emerging Markets Income Fund,2723563.73,74045624.84
Virtus Stone Harbor Emerging Markets Total Income Fund,2386664.31,51782385.03
Virtus Stone Harbor Strategic Income Fund,3490877.06,44718548.14
Virtus Strategic Allocation Series,94389.17,63776936.87
Virtus Terranova U.S. Quality Momentum ETF,23170579.92,135429179.75
Virtus Total Return Fund Inc.,210252576.01,725954283.49
Virtus Vontobel Emerging Markets Opportunities Fund,29157647.43,1732362586.55
Virtus Vontobel Foreign Opportunities Fund,1211748.44,640670066.39
Virtus WMC International Dividend ETF,9101.51,7724758.39
Virtus Westchester Credit Event Fund,5266364.16,61735615.5
Virtus Westchester Event-Driven Fund,26986944.86,356192904.91
Virtus Zevenbergen Innovative Growth Stock Fund,1262532.95,320911555.32
Virtus Zevenbergen Technology Fund,2912614.55,956912618.12
Vitality Portfolio,159129.27,2143235.76
Volumetric Fund,59583.0,36375449.0
Vontobel U.S. Equity Institutional Fund,354463.73,21185783.57
Voya Balanced Income Portfolio,13656507.96,255667216.24
Voya Floating Rate Fund,14295713.27,290999049.61
Voya Global Bond Fund,47914920.27,331076541.24
Voya Global High Dividend Low Volatility Portfolio,6821567.87,539619746.44
Voya High Yield Portfolio,29585032.61,421577293.36
Voya International High Dividend Low Volatility Portfolio,7731111.28,344075921.15
Voya Short Term Bond Fund,57197571.33,448979298.16
Voya Small Cap Growth Fund,2197786.23,606254251.78
Vulcan Value Partners Small Cap Fund,793504.54,455917441.46
WALTHAUSEN SMALL CAP VALUE FUND,74486.56,47717042.33
WATER ISLAND CREDIT OPPORTUNITIES FUND,8370159.34,128238635.55
WAVELENGTH FUND,2427847.76,116501513.57
WAYCROSS FOCUSED CORE EQUITY FUND,10177.0,10085574.33
WAYCROSS LONG/SHORT EQUITY FUND,43450035.38,131710270.22
WBI BullBear Quality 3000 ETF,9348043.96,51706035.9
WBI BullBear Value 3000 ETF,4820469.14,46346997.08
WBI BullBear Yield 3000 ETF,10096260.33,73656992.4
WBI Power Factor High Dividend ETF,22232101.67,98103772.54
WCM China Quality Growth Fund,125909.85,7132153.88
WCM Developing World Equity Fund,79658.26,2218301.22
WCM Emerging Markets ex China,526915.08,1022312.92
WCM Focused Emerging Markets Fund,2854949.72,1438809235.99
WCM Focused Global Growth Fund,446184.15,291273706.27
WCM Focused International Opportunities Fund,560758.51,24260782.77
WCM Focused Mid Cap Fund,72202.14,652646.01
WCM International Equity Fund,119040.83,59866344.84
WCM International Small Cap Growth Fund,756462.05,294864338.13
WCM SMID Quality Value Fund,7280838.64,124940990.7
WCM Small Cap Growth Fund,99589.45,33830822.03
WESTWOOD BROADMARK TACTICAL GROWTH FUND,332016.89,271626463.28
WESTWOOD BROADMARK TACTICAL PLUS FUND,152202.58,72614967.52
WESTWOOD INCOME OPPORTUNITY FUND,890088.03,647247533.03
WESTWOOD QUALITY ALLCAP FUND,66580.25,23866739.21
WESTWOOD QUALITY MIDCAP FUND,9366.55,588714.14
WESTWOOD QUALITY SMALLCAP FUND,4654445.53,1099141649.98
WESTWOOD QUALITY VALUE FUND,160193.97,256452645.0
WESTWOOD SALIENT MLP & ENERGY,8840774.91,986653967.7
WESTWOOD SALIENT SELECT INCOME FUND,256333.47,218774352.36
WESTWOOD SMALLCAP GROWTH FUND,16999.12,23976065.44
WESTWOOD TOTAL RETURN,141692.78,127864685.06
WHITE OAK SELECT GROWTH FUND,279759.59,339625076.9
WOA All Asset,537231.29,95832819.9
WP Large Cap Income Plus Fund,166884.59,22582069.5
WPG Partners Select Small Cap Value Fund,943210.23,76141152.86
WPG Partners Small/Micro Cap Value Fund,10823039.5,62122686.95999999
WSTCM CREDIT SELECT RISK-MANAGED FUND,19620536.01,158107853.84
Wahed Dow Jones Islamic World ETF,19036.78,34376189.83
Wanger Acorn,373906.71,418249119.5
Wanger International,436104.02,311338651.6
Wanger Select,140256.98,67124412.78
Wasatch Emerging India Fund,13381304.28,509685605.37
Wasatch Emerging Markets Select Fund,581690.52,382754103.22
Wasatch Emerging Markets Small Cap Fund,5381187.49,348011848.17
Wasatch Frontier Emerging Small Countries Fund,399506.98,32022276.38
Wasatch Global Opportunities Fund,2338559.6,167429856.1
Wasatch Global Select Fund,82152.46,13142749.54
Wasatch Greater China Fund,35733.98,5551269.06
Wasatch International Opportunities Fund,4699959.77,387837407.9
Wasatch International Select Fund,41242.5,4531236.9
Wasatch Long/Short Alpha Fund,9785280.52,35639769.39
Wasatch Micro Cap Fund,3330782.53,576816362.64
Wasatch Small Cap Growth Fund,12171623.28,1976485974.89
Wasatch Small Cap Value Fund,4252753.88,1339214766.09
Wasatch U.S. Select Fund,40646.66,5940293.95
Washington Mutual Investors Fund,765609596.59,164485569557.56998
Water Island Event-Driven Fund,1535593.9,113975337.31
Weakening Dollar 2x Strategy Fund,5960.75,2763880.49
Wealthfront Risk Parity Fund,1278831137.08,2545974826.51
Wedbush ETFMG Global Cloud Technology ETF,9002858.13,32820535.2
Wedbush ETFMG Video Game Tech ETF,14580702.39,67361479.88
Weiss Alternative Multi-Strategy Fund,127160940.8,371236048.53
Wellington Shields All-Cap Fund,67317.93,51886424.11
WesMark Balanced Fund,92873.16,99583096.34
WesMark Government Bond Fund,557270.01,188122930.75
WesMark Large Company Fund,2758024.14,291599853.56
WesMark Small Company Fund,1881330.68,96854800.83
WesMark Tactical Opportunity Fund,54905.13,41187026.05
West Hills Core Fund,19577.79,6362671.77
West Loop Realty Fund,79719.79,27104405.77
Western Asset Core Plus Bond Fund,6405904306.05,32928496003.54
Western Asset Core Plus VIT Portfolio,88076635.16,409178535.67
Western Asset Corporate Bond Fund,9807071.31,1261959800.8
Western Asset Emerging Markets Debt Fund,192178.17,17357534.18
Western Asset Emerging Markets Debt Fund Inc.,242180973.2,859142332.64
Western Asset Global Corporate Defined Opportunity Fund Inc.,83251749.48,289846174.84
Western Asset Global High Income Fund Inc.,79177675.96,255460021.04
Western Asset High Income Fund II Inc.,136390308.9,479862260.63
Western Asset High Yield Defined Opportunity Fund Inc.,2888027.26,291912896.96
Western Asset High Yield Fund,2420907.25,246460822.19
Western Asset Income Fund,21419988.0,1115260112.69
Western Asset Inflation Indexed Plus Bond Fund,70094.95,97952177.21
Western Asset Inflation-Linked Income Fund,1827984.16,243524515.51
Western Asset Inflation-Linked Opportunities & Income Fund,4531883.91,676471606.54
Western Asset Intermediate Bond Fund,51800096.37,805833047.86
Western Asset Intermediate Maturity California Municipals Fund,338676.33,115494500.73
Western Asset Intermediate Maturity New York Municipals Fund,1329088.01,153355693.27
Western Asset Intermediate Muni Fund Inc.,50760694.09,176138764.8
Western Asset Intermediate-Term Municipals Fund,45889143.51,2596577486.99
Western Asset Investment Grade Income Fund Inc.,807508.2,120250016.98
Western Asset Macro Opportunities Fund,16118958.9,554522641.34
Western Asset Managed Municipals Fund,59524926.13,3120834854.88
Western Asset Management Government Income Portfolio,12535630.36,661711624.93
Western Asset Massachusetts Municipals Fund,222464.89,70381607.11
Western Asset Mortgage Opportunity Fund Inc.,24437475.22,162561433.82
Western Asset Mortgage Total Return Fund,45720717.44,574947210.98
Western Asset Municipal High Income Fund,7938899.12,345612989.88
Western Asset Municipal High Income Fund Inc.,3484280.31,161136618.28
Western Asset Municipal Partners Fund Inc.,81605542.45,213702602.67
Western Asset New Jersey Municipals Fund,675629.34,148561944.7
Western Asset New York Municipals Fund,6739972.94,358705032.0
Western Asset Oregon Municipals Fund,167261.17,47905600.85
Western Asset Pennsylvania Municipals Fund,523157.05,112926734.87
Western Asset Premier Bond Fund,58193784.01,191480366.97
Western Asset SMASh Series C Fund,6715866.01,1233987032.97
Western Asset SMASh Series Core Completion Fund,31537904.04,348595009.56
Western Asset SMASh Series TF Fund,1204082.51,65797673.85
Western Asset Short Duration Income ETF,133029.87,23518842.32
Western Asset Short Duration Municipal Income Fund,1520532.84,581696776.06
Western Asset Short-Term Bond Fund,8627735.48,798044352.4
Western Asset Total Return ETF,10556401.03,41719475.41
Western Asset Ultra-Short Income Fund,2092292.74,580069278.68
Western Asset Variable Global High Yield Bond Portfolio,694686.87,134085084.99
Wildermuth Fund,13567033.08,127982952.54
William Blair China Growth Fund,36348.32,1983028.24
William Blair Emerging Markets Growth Fund,2015221.18,672996026.48
William Blair Emerging Markets Leaders Fund,4511176.99,356520644.98
William Blair Emerging Markets Small Cap Growth Fund,4317573.16,326748823.41
William Blair Emerging Markets ex China Growth Fund,81562.51,13114881.36
William Blair Global Leaders Fund,134739.81,91814889.04
William Blair Growth Fund,200070.81,189304418.54
William Blair Institutional International Growth Fund,1319884.24,908008442.86
William Blair International Growth Fund,2461870.35,1439280083.68
William Blair International Leaders Fund,1670958.0,998936159.22
William Blair International Small Cap Growth Fund,385180.67,235713859.36
William Blair Large Cap Growth Fund,831092.61,1073198493.9
William Blair Mid Cap Growth Fund,70212.36,32581438.88
William Blair Mid Cap Value Fund,31636.73,1538383.11
William Blair Small Cap Growth Fund,692938.03,529960431.23
William Blair Small-Mid Cap Core Fund,214830.26,144373307.31
William Blair Small-Mid Cap Growth Fund,2258757.94,2014274280.77
Wilmington Broad Market Bond Fund,17967649.33,550417581.78
Wilmington Enhanced Dividend Income Strategy Fund,66970.42,38920201.54
Wilmington International Fund,18790544.36,529338228.93
Wilmington Large-Cap Strategy Fund,2271971.41,500906447.64
Wilmington Municipal Bond Fund,6815431.11,310871186.05
Wilmington New York Municipal Bond Fund,135976.44,44599969.94
Wilshire 5000 Index Fund,1371525.79,200872076.06
Wilshire Global Allocation Fund,311386.3,435528008.24
Wilshire Income Opportunities Fund,10159218.439,243346233.829
Wilshire International Equity Fund,1011453.13,223149487.57
WisdomTree Alternative Income Fund,813784.39,11066552.0
WisdomTree Artificial Intelligence and Innovation Fund,14127.16,719950.93
WisdomTree Battery Value Chain and Innovation Fund,190449.81,5003269.66
WisdomTree BioRevolution Fund,27919.2,4201823.44
WisdomTree Bloomberg U.S. Dollar Bullish Fund,22819148.53,397078761.8
WisdomTree China ex-State-Owned Enterprises Fund,15558828.4,817509594.78
WisdomTree Chinese Yuan Strategy Fund,170019.25,27137268.96
WisdomTree Cloud Computing Fund,17245843.52,590907845.36
WisdomTree Dynamic Currency Hedged International Equity Fund,12802632.85,231676817.91
WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund,7792687.95,127293061.83
WisdomTree Efficient Gold Plus Equity Strategy Fund,555.75,4303123.29
WisdomTree Efficient Gold Plus Gold Miners Strategy Fund,2400.26,7746198.22
WisdomTree Emerging Currency Strategy Fund,9375.23,8347325.37
WisdomTree Emerging Markets Corporate Bond Fund,2390026.55,54350398.2
WisdomTree Emerging Markets ESG Fund,492101.87,24978578.94
WisdomTree Emerging Markets High Dividend Fund,23253703.23,1763193245.48
WisdomTree Emerging Markets Local Debt Fund,675539.95,92862064.39
WisdomTree Emerging Markets Multifactor Fund,25280.79,2123899.92
WisdomTree Emerging Markets Quality Dividend Growth Fund,1667485.24,76400947.86
WisdomTree Emerging Markets ex-China Fund,10674.6,14801087.45
WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,33120323.6,2135114591.47
WisdomTree Enhanced Commodity Strategy Fund,71915.61,196689353.45
WisdomTree Europe Hedged Equity Fund,85629270.03,1282467950.56
WisdomTree Europe Hedged SmallCap Equity Fund,2992829.13,32660887.23
WisdomTree Europe Quality Dividend Growth Fund,449601.14,60321866.44
WisdomTree Floating Rate Treasury Fund,13564005.51,12374785243.87
WisdomTree Germany Hedged Equity Fund,1273590.89,23476995.97
WisdomTree Growth Leaders Fund,120591.96,8206271.78
WisdomTree India Earnings Fund,25355380.84,767335111.29
WisdomTree Interest Rate Hedged High Yield Bond Fund,17404555.27,178151524.01
WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,7228390.61,350690057.87
WisdomTree International Efficient Core Fund,350816.47,197331846.46
WisdomTree International Equity Fund,21526348.69,566028012.88
WisdomTree International LargeCap Dividend Fund,9634176.14,460652533.92
WisdomTree International MidCap Dividend Fund,6459364.3,128519099.38
WisdomTree International Multifactor Fund,2051346.71,40068150.52
WisdomTree International Quality Dividend Growth Fund,3598776.82,468428627.56
WisdomTree International SmallCap Dividend Fund,60414422.24,1187822135.16
WisdomTree Japan Hedged Equity Fund,136464187.58,1912396633.42
WisdomTree Japan Hedged SmallCap Equity Fund,2358208.09,24895510.68
WisdomTree Japan SmallCap Dividend Fund,5796187.76,180012369.98
WisdomTree Managed Futures Strategy Fund,645265.65,129314047.75
WisdomTree Mortgage Plus Bond Fund,385433.12,22319246.46
WisdomTree New Economy Real Estate Fund,1816506.13,30714099.11
WisdomTree Short-Term Treasury Digital Fund,0.0,997062.23
WisdomTree Target Range Fund,33739.59,57605294.13
WisdomTree U.S. Corporate Bond Fund,167004.85,8821080.39
WisdomTree U.S. ESG Fund,16500.77,66798821.89
WisdomTree U.S. Efficient Core Fund,492548.06,714607199.61
WisdomTree U.S. High Dividend Fund,21409549.16,1488119630.0
WisdomTree U.S. High Yield Corporate Bond Fund,8707965.52,162313031.84
WisdomTree U.S. LargeCap Dividend Fund,3065258.88,3773368591.03
WisdomTree U.S. LargeCap Fund,202372.64,619801318.32
WisdomTree U.S. MidCap Dividend Fund,7248482.4,3240974045.59
WisdomTree U.S. MidCap Fund,9578108.02,741957920.47
WisdomTree U.S. Multifactor Fund,60858.66,249256020.67
WisdomTree U.S. Quality Dividend Growth Fund,2053499.38,7504473283.42
WisdomTree U.S. Quality Growth Fund,157.11,1173773.1
WisdomTree U.S. Short-Term Corporate Bond Fund,619418.72,38022190.97
WisdomTree U.S. SmallCap Dividend Fund,43239021.88,1879261170.67
WisdomTree U.S. SmallCap Fund,14890564.57,651089221.48
WisdomTree U.S. SmallCap Quality Dividend Growth Fund,5465896.3,219123070.48
WisdomTree U.S. Total Dividend Fund,2484962.05,1101324041.36
WisdomTree U.S. Value Fund,1246989.81,118720366.76
WisdomTree Yield Enhanced U.S. Short-Term Aggregate Bond Fund,5824289.41,80649815.79
Wise Capital Fund,217495.17,211674611.49
Women in Leadership U.S. Equity Portfolio,31733.0,22393071.56
World Core Equity Portfolio,86014.74,1035870625.77
World Energy Fund,113931.18,93966178.02
World ex U.S. Targeted Value Portfolio,3456126.01,695996750.86
X-Square Balanced Fund,34254.99,34639212.7
XAI Octagon Floating Rate & Alternative Income Term Trust,170683861.52,394259367.35
Xtrackers Bloomberg US Investment Grade Corporate ESG ETF,170429.19,6514256.3
Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,2160023.94,488328835.21
Xtrackers FTSE Developed ex US Multifactor ETF,342682.03,64136502.4
